Drug_Name,CID
DOXORUBICIN,31703
OXALIPLATIN,6857599
FLUOROURACIL,3385
TEMOZOLOMIDE,5394
CISPLATIN,5460033
GEMCITABINE,60750
GEFITINIB,123631
TAMOXIFEN,2733525
IMATINIB,5291
YK-4-279,44632017
PACLITAXEL,36314
FENTANYL,3345
RUTIN,5280805
SORAFENIB,216239
LAPATINIB,208908
CARBOPLATIN,38904
TETRAPLATIN,13920603
LENVATINIB,9823820
DOCETAXEL,148124
CAPECITABINE,60953
131I,807
OSIMERTINIB,71496458
AFATINIB,10184653
CYTARABINE,6253
ETOPOSIDE,36462
METHOTREXATE,126941
VINCRISTINE,5978
ERLOTINIB,176870
CRIZOTINIB,11626560
PLATINUM,23939
NUTLIN-3A,11433190
SIROLIMUS,5284616
EVEROLIMUS,6442177
TEMSIROLIMUS,54608508
CYCLOHEXIMIDE,6197
"[5-[2,4-BIS((3S)-3-METHYLMORPHOLIN-4-YL)PYRIDO[2,3-D]PYRIMIDIN-7-YL]-2-METHOXYPHENYL]METHANOL",25262965
DACTOLISIB,11977753
VERAPAMIL,2520
"1ALPHA,25-DIHYDROXYVITAMIN D3",5280453
VINORELBINE,44424639
FULVESTRANT,17756771
BORTEZOMIB,387447
CABERGOLINE,54746
BROMOCRIPTINE,31101
ASPIRIN,2244
ENZALUTAMIDE,15951529
MITOMYCIN C,5746
PROGESTERONE,5994
DEXAMETHASONE,5743
SUNITINIB,5329102
PREDNISONE,5865
PHENYTOIN,1775
BERBERINE,2353
CAMPTOTHECIN,24360
TAXANE,9548828
CYCLOPHOSPHAMIDE,2907
CERITINIB,57379345
MITOXANTRONE,4212
ANASTROZOLE,2187
SERDEMETAN,11609586
PHENFORMIN,8249
VORINOSTAT,5311
ERASTIN,11214940
ANLOTINIB,25017411
BUFALIN,9547215
BAICALEIN,5281605
VEMURAFENIB,42611257
PROPOFOL,4943
DAUNORUBICIN,30323
ABEXINOSTAT,11749858
URSOLIC ACID,64945
EPIRUBICIN,41867
PLX-4720,24180719
DABRAFENIB,44462760
TRAMETINIB,11707110
TIVANTINIB,11494412
AZACITIDINE,9444
CYCLOPAMINE,442972
PREDNISOLONE,5755
LORLATINIB,71731823
RUXOLITINIB,25126798
NAVITOCLAX,24978538
OLAPARIB,23725625
DASATINIB,3062316
AXITINIB,6450551
NUTLIN-3,216345
PARTHENOLIDE,6473881
APICIDIN,6918328
HYALURONAN,24759
PONATINIB,24826799
PAROXETINE,43815
VINBLASTINE,442111
PALBOCICLIB,5330286
UBENIMEX,72172
TRETINOIN,5538
MAFOSFAMIDE,76968809
TACALCITOL,5283734
10-HYDROXYCAMPTOTHECIN,97226
BLEOMYCIN,5360373
EPIGALLOCATECHIN GALLATE,65064
ALPELISIB,56649450
RIBOCICLIB,44631912
GSK1070916,46885626
PANOBINOSTAT,6918837
TOPOTECAN,60699
EXEMESTANE,60198
LETROZOLE,3902
CURCUMIN,969516
YUANHUADINE,6440572
DECITABINE,451668
APATINIB,11315474
SEVOFLURANE,5206
ARSENIC TRIOXIDE,261004
PU-H71,9549213
TANESPIMYCIN,5458730
"N-[(2R)-2,3-DIHYDROXYPROPOXY]-3,4-DIFLUORO-2-[(2-FLUORO-4-IODOPHENYL)AMINO]BENZAMIDE",9826528
TENIPOSIDE,452548
Y15,78260
PHA-665752,10461815
EPOXOMICIN,11226684
NINTEDANIB,9809715
METFORMIN,4091
RIBAVIRIN,37542
QUERCETIN,5280343
PAZOPANIB,10113978
SN-38,104842
ARECOLINE,2230
PEMETREXED,446556
GENISTEIN,5280961
IRINOTECAN,60838
RHAMNETIN,5281691
METHYLPREDNISOLONE,6741
CABAZITAXEL,9854073
DACARBAZINE,5351166
SCHIZANDRIN A,23915
MELPHALAN,460612
PIRARUBICIN,11296583
APITOLISIB,25254071
FLUDARABINE,657237
TRICHOSTATIN A,444732
AMG51,11858109
XL765,49867926
CARMUSTINE,2578
CELASTROL,12302620
ONVANSERTIB,49792852
EPIRUBICIN HYDROCHLORIDE,65348
4-ACETYLANTROQUINONOL B,112500518
ESTRADIOL,5757
ABT-737,11228183
ERIBULIN,73425383
SARACATINIB,10302451
SU11274,9549297
EPOTHILONE B,57336519
U0126,3006531
TETRAHYDROPALMATINE,72301
BI853520,46207957
AG-1478,2051
CANERTINIB HCL,156413
LEVOTHROID,23666112
HYDROGEN PEROXIDE,784
SP600125,8515
DIBENZIODOLIUM,3101
BETULINIC ACID,64971
PINGYANGMYCIN,84046
DOVITINIB,9977819
SIMVASTATIN,54454
ASPARAGINATE,5460875
1'-ACETOXYCHAVICOL ACETATE,119104
LIGUSTRAZINE,14296
IBRUTINIB,24821094
RALTITREXED,135400182
CATALPOL,91520
STANOLONE,10635
AGRO100,145994598
VALPROIC ACID,3121
CLOPIDOGREL,60606
PRAZIQUANTEL,4891
DAPT,5311272
HYDROXYUREA,3657
QUISINOSTAT,11538455
PROPRANOLOL,4946
IMATINIB MESYLATE,123596
ETHANOL,702
CARFILZOMIB,11556711
IXAZOMIB,25183872
LEVETIRACETAM,5284583
STAUROSPORINE,5459111
CORTISONE,222786
BAICALIN,64982
CAPSAICIN,1548943
RITONAVIR,392622
LOPINAVIR,92727
LUTEOLIN,5280445
REGORAFENIB,11167602
PLATYCODIN D,162859
LENALIDOMIDE,216326
CABOZANTINIB,25102847
HOMOHARRINGTONINE,285033
RUTHENIUM,23950
VANDETANIB,3081361
4-HYDROXYTAMOXIFEN,449459
CHIDAMIDE,9800555
MITOTANE,4211
GILTERITINIB,49803313
QUIZARTINIB,24889392
METAPRISTONE,10070462
JQ1,46907787
TIPIFARNIB,159324
NERATINIB,9915743
OSI-027,72698550
PAEONOL,11092
THAPSIGARGIN,446378
N-METHYL-N-NITRO-N-NITROSOGUANIDINE,9562060
RUCAPARIB PHOSPHATE,9931953
ALKANNIN,72521
STREPTOMYCIN,19649
